IndicatorCode,Indicator,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,latitude,longitude,Value,Language
ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,EUR,Europe,Country,NLD,Netherlands (Kingdom of the),Year,2019,TRUE,52.1326,5.2913,Affordable,EN
ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,EUR,Europe,Country,NOR,Norway,Year,2019,TRUE,60.472,8.4689,Affordable,EN
ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,EUR,Europe,Country,PRT,Portugal,Year,2019,TRUE,39.3999,-8.2245,Affordable,EN
ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,EUR,Europe,Country,ROU,Romania,Year,2019,TRUE,45.9432,24.9668,Affordable,EN
ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,EUR,Europe,Country,RUS,Russian Federation,Year,2019,TRUE,61.524,105.3188,Affordable,EN
ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,EUR,Europe,Country,SRB,Serbia,Year,2019,TRUE,44.0165,21.0059,Affordable,EN
ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,EUR,Europe,Country,SWE,Sweden,Year,2019,TRUE,60.1282,18.6435,Affordable,EN
ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2019,TRUE,23.685,90.3563,Unaffordable,EN
ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2019,TRUE,-0.7893,113.9213,Affordable,EN
ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2019,TRUE,21.9162,95.956,Affordable,EN
ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,SEAR,South-East Asia,Country,NPL,Nepal,Year,2019,TRUE,28.3949,84.124,Unaffordable,EN
ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,SEAR,South-East Asia,Country,THA,Thailand,Year,2019,TRUE,15.87,100.9925,Affordable,EN
ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,WPR,Western Pacific,Country,AUS,Australia,Year,2019,TRUE,-25.2744,133.7751,Affordable,EN
ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,WPR,Western Pacific,Country,CHN,China,Year,2019,TRUE,35.8617,104.1954,Affordable,EN
ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,WPR,Western Pacific,Country,FJI,Fiji,Year,2019,TRUE,-17.7134,178.065,Affordable,EN
ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,WPR,Western Pacific,Country,JPN,Japan,Year,2019,TRUE,36.2048,138.2529,Affordable,EN
ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,WPR,Western Pacific,Country,KHM,Cambodia,Year,2019,TRUE,12.5657,104.991,Affordable,EN
ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2019,TRUE,19.8563,102.4955,Unaffordable,EN
ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,WPR,Western Pacific,Country,MYS,Malaysia,Year,2019,TRUE,4.2105,101.9758,Affordable,EN
ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,WPR,Western Pacific,Country,NZL,New Zealand,Year,2019,TRUE,-40.9006,174.886,Affordable,EN
ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,WPR,Western Pacific,Country,PHL,Philippines,Year,2019,TRUE,12.8797,121.774,Unaffordable,EN
ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,WPR,Western Pacific,Country,SGP,Singapore,Year,2019,TRUE,1.3521,103.8198,Affordable,EN
ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2019,TRUE,-9.6457,160.1562,Affordable,EN
